更新时间,#genre#
2024-10-24 06:39:32,url
📺央视频道,#genre#
CCTV-1,http://110.177.146.171:888/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$1920x1080
CCTV-1,http://49.83.246.192:7000/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://183.191.181.121:8002/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://114.220.240.64:4022/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://36.49.51.252:30007/rtp/239.37.0.254:5540$1920x1080
CCTV-1,http://180.113.67.53:8787/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://223.247.166.255:2000/rtp/238.1.78.166:7200$1920x1080
CCTV-1,http://58.219.172.201:10001/rtp/239.49.8.19:9614$1920x1080
CCTV-1,http://115.58.217.95:4000/rtp/225.1.4.73:1102$1920x1080
CCTV-1,http://58.48.200.208:12312/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://211.90.83.70:8002/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://119.98.99.124:5555/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://183.66.51.205:4022/rtp/235.254.198.51:1480$1920x1080
CCTV-1,http://112.226.139.185:9999/rtp/239.253.254.77:8000$1920x1080
CCTV-1,http://123.113.106.229:4022/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://221.218.157.61:3527/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://enlen.vip:4022/rtp/239.200.200.2:8080$1920x1080
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$1920x1080
CCTV-1,https://vip.taoiptv.cn/source/itv.php?id=CCTV150FPS.m3u8&sign=40u1wu$1920x1080
CCTV-1,http://111.225.114.32:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CCTV-1,http://s.zbds.top:8581/itv/1000000005000265001.m3u8?cdn=ystenlive$1920x1080
CCTV-1,http://211.90.83.70:8002/rtp/226.0.2.18:8056$1920x1080
CCTV-1,http://120.55.49.231:3095/rtp/233.50.201.222:5140
CCTV-1,http://120.55.49.231:3095/rtp/233.50.201.99:5140
CCTV-1,http://180.113.67.53:8787/rtp/239.49.1.1:6000$1920x1080
CCTV-1,http://49.83.246.192:7000/rtp/239.49.1.1:6000$1920x1080
CCTV-1,http://114.220.240.64:4022/rtp/239.49.1.1:6000$1920x1080
CCTV-1,http://183.66.51.205:4022/rtp/235.254.198.1:1280$1920x1080
CCTV-1,http://36.49.51.252:30007/rtp/239.37.0.218:5540$1920x1080
CCTV-2,http://222.218.158.156:8181/tsfile/live/0002_1.m3u8$1920x1080
CCTV-2,https://livednow.com/migu/631780532?sign=gAAAAABmxHgUnAvEb33tHD9hTm-x8LUM8wdp7UNp8vG_QGzfBRymJcJ-qRZkuO8iC9C4jvmjR4JkCfpD2ahIj6YDLYc7I9zvSFX3TfVl-AEPw3Cr4tW6jEgf_21OyqfRJVr9Ur7eHN66lC0Vkm577g_N_DMJA7tvJB1VXzu8XvvBj9PfMX661WuanhS0hudEg28SveMbwkSCb9figgsldzEbo7jwMQVZ4A%3D%3D$1920x1080
CCTV-2,http://110.177.146.171:888/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://211.90.83.70:8002/rtp/226.0.2.154:9144$1920x1080
